date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity
02/2008,15.492,-0.214,-1.363,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
03/2008,15.116,-0.376,-2.427,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
04/2008,14.602,-0.514,-3.4,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
05/2008,14.697,0.095,0.651,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
06/2008,14.377,-0.32,-2.177,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
07/2008,13.003,-1.374,-9.557,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
08/2008,14.119,1.116,8.583,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
09/2008,12.962,-1.157,-8.195,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
10/2008,10.933,-2.029,-15.653,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
11/2008,10.525,-0.408,-3.732,TOTALSA,2020-06-15,2020-06-15,Total Vehicle Sales,1976-01-01,2020-05-01,Monthly,M,Millions of Units,Mil. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-05 10:31:01-05,80
