date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,month_year
2007-02-01,222873.0,1322.0,0.597,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,02-2007
2007-03-01,230379.0,7506.0,3.368,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,03-2007
2007-04-01,232398.0,2019.0,0.876,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,04-2007
2007-05-01,228051.0,-4347.0,-1.87,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,05-2007
2007-06-01,228619.0,568.0,0.249,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,06-2007
2007-07-01,234568.0,5949.0,2.602,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,07-2007
2007-08-01,234668.0,100.0,0.043,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,08-2007
2007-09-01,227299.0,-7369.0,-3.14,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,09-2007
2007-10-01,229576.0,2277.0,1.002,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,10-2007
2007-11-01,229933.0,357.0,0.156,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,11-2007
