date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
12/2006,115324.448,103.476,0.09,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
01/2007,115517.686,193.238,0.168,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
02/2007,115553.461,35.775,0.031,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
03/2007,115644.0,90.539,0.078,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
04/2007,115720.609,76.609,0.066,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
05/2007,115788.566,67.957,0.059,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
06/2007,115825.884,37.318,0.032,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
07/2007,115854.479,28.595,0.025,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
08/2007,115912.038,57.559,0.05,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
09/2007,115944.138,32.1,0.028,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
10/2007,115927.95,-16.188,-0.014,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
11/2007,115933.322,5.372,0.005,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
12/2007,115949.691,16.369,0.014,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
01/2008,115958.337,8.646,0.007,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
02/2008,115911.701,-46.636,-0.04,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
03/2008,115832.0,-79.701,-0.069,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
04/2008,115485.541,-346.459,-0.299,NPPTTL,2020-06-15,2020-06-15,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,63,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"")."
